sample_id,id,tweet,predicted_intent,diversity_bucket,human_label,human_escalate,notes
154,gene_1491439,"Seller Amazon Support, https://t.co/JjAPW9EIGj seller cheated deducted money from my bank account Please Call me +91 9167937705 @AmazonHelp",general_complaint_or_feedback,0,general_complaint_or_feedback,Y,
155,refu_1104630,"Want to give a shout-out to @AmazonHelp ordered a case that said ""delivered"" but never showed, issued a refund immidiately! Amazing service!",refund_request,3,general_complaint_or_feedback,Y,
156,refu_234766,@AmazonHelp why i can't get refund of my headphone which is worth 8999. they are is no return only replace. Now i can't do anything.,refund_request,2,refund_request,Y,
157,prod_575918,@AmazonHelp Got my “dua lipa special Italian edition” broken.. what can we do about that? https://t.co/bmTzgNy2i6,product_issue,3,general_complaint_or_feedback,Y,
158,refu_1047935,".@AmazonHelp, your cust support is so pathetic! Screwed up the orders, then issued a refund to an old card. Now, I am asked to go the bank!😡",refund_request,3,refund_request,Y,
159,gene_1099591,@AmazonHelp @115821 I just had the best customer service agent ever -- her name was Amanda and she was extremely helpful!!!,general_complaint_or_feedback,3,general_complaint_or_feedback,N,
160,refu_2690646,"You gotta love when @AmazonHelp loses one of your packages, but only gives you cancellation/refund options as if it’s your fault. #Amazon #Ownership",refund_request,3,general_complaint_or_feedback,N,
161,refu_377470,@AmazonHelp hello! my prime membership renewed automatically but it charged the wrong payment method. is it possible to get a refund/do over,refund_request,0,refund_request,N,
162,retu_417015,"Hey @AmazonHelp I’ve send my return to you more than a month ago and apparently you still didn’t receive it, and charge me again…",return_or_exchange,2,return_or_exchange,N,
163,deli_2115597,@AmazonHelp why would @115830 deliver our parcels and then cancel the delivery so the delivery driver demands them back please?! 😡,delivery_issue,0,delivery_issue,Y,
164,refu_706871,"@AmazonHelp @115850 @115851 completed 60 days since ordered, no refund still. Asked for cancellation, plz do refund.#RallyForRivers",refund_request,4,general_complaint_or_feedback,N,
165,devi_639511,"@AmazonHelp why can I play some things on my Echo only, not on my phone, with music unlimited?",device_and_digital_support,4,general_complaint_or_feedback,Y,
166,gene_2284549,@AmazonHelp Or is it I am not at a address that is eligible for 1-2 day free delivery,general_complaint_or_feedback,2,general_complaint_or_feedback,Y,
167,acco_2923513,@AmazonHelp  hi amazon my account HAS BEEN LOCKED for no apparent reason yesterday I ordered an iphone 5s space Grey and I went to check since I'm already logged in on my phone and it said arriving tomorrow at 8pm but says not shipped yet,account_access,3,account_access,N,
168,ship_2520641,"So I paid for one-day shipping to get Yakuza 0 today and now it's expected later in the week

Why did I pay $4 extra for nothing, @AmazonHelp???? https://t.co/F5PdbO0oRn",shipping_delay_complaint,0,general_complaint_or_feedback,N,
169,devi_867388,"@AmazonHelp gente, na foto não tá muito claro mas a tela do meu Kindle tá com uns defeitinhos ): que que eu posso fazer? https://t.co/8wuGRw6U7f",device_and_digital_support,2,general_complaint_or_feedback,N,
170,gene_445434,"@AmazonHelp Que hago si habeis entregado mi paquete a un recepcionista que ni me suena el nombre, cuando en mi calle no hay ningún edificio con recepcionista ???",general_complaint_or_feedback,4,general_complaint_or_feedback,N,
171,orde_887136,@AmazonHelp my package was supposed to arrive today and it hasn't arrived and I'm not able to track it.,order_status_inquiry,4,order_status_inquiry,Y,
172,refu_1075373,@AmazonHelp Bluedart's website says that shipment has already arrived at Ghaziabad Hub on 19th Oct.Give my refund asap!!This is unacceptable @115851,refund_request,2,refund_request,Y,
173,prim_1763529,@AmazonHelp Hi.. I'm a Prime member in US and am currently traveling in Poland. Can i use my membership and get stuff delivered in Poland?,prime_membership,3,prime_membership,Y,
174,acco_1924024,@AmazonHelp is there an issue with emails trying to reset my password and never get the code,account_access,4,account_access,N,
175,devi_2325520,@AmazonHelp can't watch Thurs football via Amazon video app on Roku? I have a Prime acct and watch Prime video though this app but no TNF,device_and_digital_support,0,general_complaint_or_feedback,Y,
176,prod_1260789,Guys don't use @AmazonHelp @115850 @115821. first they will deliver defective items than @AmazonHelp Will make u fool not once but 2-3time,product_issue,2,product_issue,N,
177,prod_1082974,@AmazonHelp  bought laptop 10 days back and it's not working now :/,product_issue,3,product_issue,Y,
178,acco_853892,@AmazonHelp Can you please confirm that @116316 has received my fax (billing).  I have been locked out of my account for almost a month!,account_access,0,account_access,N,
179,retu_2478832,@115850 I ordered a product with Order Id: 403-1418119-9073166. Filed return due to some reason ans still the order hasn’t been picked up yet. Need a solution ASAP! @AmazonHelp,return_or_exchange,2,general_complaint_or_feedback,N,
180,orde_1551613,So @AmazonHelp how do I cancel an order I never ordered. It's a duplicate but there is no obvious way to cancel anymore.,order_cancellation,2,general_complaint_or_feedback,Y,
181,acco_331572,"@AmazonHelp My account was blocked. Respond to the address verification email to solve it, says it does not accept incoming emails. Help pls",account_access,1,general_complaint_or_feedback,Y,
182,gene_2774136,@115850 @AmazonHelp Unable to get information on how to claim warranty for one of the products. App is also not helpful,general_complaint_or_feedback,3,general_complaint_or_feedback,Y,
183,deli_2977333,"@115830 @AmazonHelp 
Currently in my 5th conversation about a delivery that should have happened on Saturday - 4 DAYS AGO!!
#lyingdrivers",delivery_issue,0,delivery_issue,Y,
184,orde_865664,@AmazonHelp I applied for your credit card yesterday but have changed my mind. How do I cancel the application?,order_cancellation,1,general_complaint_or_feedback,Y,
185,prod_2176322,@AmazonHelp Convincing spam email! Good job this isn't my address &amp; I noticed the sender's email was fake. Some people would fall for this.. https://t.co/yBcsCSXzYJ,product_issue,4,product_issue,Y,
186,orde_419186,@AmazonHelp hey my tracking id is 770445658368 it is supposed to be delivered today. But I have not received number of delivery boy.,order_status_inquiry,1,general_complaint_or_feedback,N,
187,retu_283059,"@AmazonHelp I recieved an item on 29th Sept and only just showed on my account that it has arrived,i want to return it as a part is missing",return_or_exchange,3,general_complaint_or_feedback,N,
188,gene_1827622,"@AmazonHelp Mal wieder keine Rechnung bekommen (diesmal ""Fashion-personality""). Nachgefragt. Seine Antwort: ""sorry,i not have, friend."" :-(",general_complaint_or_feedback,4,general_complaint_or_feedback,N,
189,prod_2170751,@AmazonHelp The replacement again is the wrong item. Really done with this.2/2,product_issue,1,product_issue,N,
